,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
41063,130067,0072570,0072566,1003,2003,0.0,0.0,8151.0
41097,178889,0054958,0093061,2004,1224,0.0,0.0,12491.0
41115,180547,0058978,0092324,2012,1003,0.0,0.0,22849.0
41136,177454,0050811,0085876,3001,3002,0.0,0.0,3151.0
41173,175499,0046931,0086686,1001,1000,2.0,1.0,10712.0
41852,49507,0030485,0030484,1006,1003,0.0,0.0,4108.0
41913,122248,0071792,0071790,1152,1067,0.0,0.0,37166.0
42121,9008739,0055387,9007019,2004,2007,0.0,0.0,7199.0
42130,141787,0082815,0082219,2012,2012,0.0,0.0,2069.0
42212,184645,0066566,0088244,2004,2003,0.0,0.0,10668.0
42239,194371,0082219,0059594,3006,3006,0.0,0.0,2179.0
45603,128570,0072805,0072799,3002,0,0.0,0.0,9851.0
45646,128569,0027842,0072805,3002,0,0.0,0.0,9231.0
45685,128571,0072799,0027904,3002,0,1.0,0.0,10361.0
45702,82920,0050601,0050605,1189,1176,0.0,0.0,17223.0
46291,9001278,9003441,9003437,2000,1000,0.0,0.0,27230.0
47239,222431,0054681,9028356,1188,1188,0.0,0.0,10193.0
47813,234174,9030493,0029541,1004,1011,0.0,0.0,14594.0
48394,254742,9034466,0070023,1052,1052,0.0,0.0,23414.0
48398,254747,9034467,0108548,1076,1075,0.0,0.0,20062.0
48505,256338,0029956,9034704,1006,1011,1.0,0.0,14135.0
49230,275873,0032590,0032731,1005,1029,0.0,0.0,8418.0
49238,275887,0041174,9038606,1006,3003,2.0,0.0,8971.0
60313,8102302,0089101,0106246,1012,1000,0.0,0.0,10128.0
